combo,weight,ev
AdKhKd6c,1,0.69
AdKhKd6s,1,0.69
AcKsKc6h,1,0.69
AcKsKc6d,1,0.69
AcKhKc6d,1,0.69
AcKhKc6s,1,0.69
AcKdKc6s,1,0.69
AcKdKc6h,1,0.69
AsKsKh5d,1,0.83
AsKsKh5c,1,0.83
AsKsKd5c,1,0.83
AsKsKd5h,1,0.83
AsKsKc5h,1,0.83
AsKsKc5d,1,0.83
AhKhKd5c,1,0.83
AhKhKd5s,1,0.83
AhKhKc5d,1,0.83
AhKhKc5s,1,0.83
AhKsKh5c,1,0.83
AhKsKh5d,1,0.83
AdKdKc5h,1,0.83
AdKdKc5s,1,0.83
AdKsKd5c,1,0.83
AdKsKd5h,1,0.83
AdKhKd5c,1,0.83
AdKhKd5s,1,0.83
AcKsKc5h,1,0.83
AcKsKc5d,1,0.83
AcKhKc5d,1,0.83
AcKhKc5s,1,0.83
AcKdKc5s,1,0.83
AcKdKc5h,1,0.83
AsKsKh4d,1,0.83
AsKsKh4c,1,0.83
AsKsKd4c,1,0.83
AsKsKd4h,1,0.83
AsKsKc4h,1,0.83
AsKsKc4d,1,0.83
AhKhKd4c,1,0.83
AhKhKd4s,1,0.83
AhKhKc4d,1,0.83
AhKhKc4s,1,0.83
AhKsKh4c,1,0.83
AhKsKh4d,1,0.83
AdKdKc4h,1,0.83
AdKdKc4s,1,0.83
AdKsKd4c,1,0.83
AdKsKd4h,1,0.83
AdKhKd4c,1,0.83
AdKhKd4s,1,0.83
AcKsKc4h,1,0.83
AcKsKc4d,1,0.83
AcKhKc4d,1,0.83
AcKhKc4s,1,0.83
AcKdKc4s,1,0.83
AcKdKc4h,1,0.83
AsKsKh3d,1,0.82
AsKsKh3c,1,0.82
AsKsKd3c,1,0.82
AsKsKd3h,1,0.82
AsKsKc3h,1,0.82
AsKsKc3d,1,0.82
AhKhKd3c,1,0.82
AhKhKd3s,1,0.82
AhKhKc3d,1,0.82
AhKhKc3s,1,0.82
AhKsKh3c,1,0.82
AhKsKh3d,1,0.82
AdKdKc3h,1,0.82
AdKdKc3s,1,0.82
AdKsKd3c,1,0.82
AdKsKd3h,1,0.82
AdKhKd3c,1,0.82
AdKhKd3s,1,0.82
AcKsKc3h,1,0.82
AcKsKc3d,1,0.82
AcKhKc3d,1,0.82
AcKhKc3s,1,0.82
AcKdKc3s,1,0.82
AcKdKc3h,1,0.82
AsKsKh2d,1,0.75
AsKsKh2c,1,0.75
AsKsKd2c,1,0.75
AsKsKd2h,1,0.75
AsKsKc2h,1,0.75
AsKsKc2d,1,0.75
AhKhKd2c,1,0.75
AhKhKd2s,1,0.75
AhKhKc2d,1,0.75
AhKhKc2s,1,0.75
AhKsKh2c,1,0.75
AhKsKh2d,1,0.75
AdKdKc2h,1,0.75
AdKdKc2s,1,0.75
AdKsKd2c,1,0.75
AdKsKd2h,1,0.75
AdKhKd2c,1,0.75
AdKhKd2s,1,0.75
AcKsKc2h,1,0.75
AcKsKc2d,1,0.75
AcKhKc2d,1,0.75
AcKhKc2s,1,0.75
AcKdKc2s,1,0.75
AcKdKc2h,1,0.75
AsKsQhJs,1,0.21
AsKsQdJs,1,0.21
AsKsQcJs,1,0.21
AhKhQdJh,1,0.21
AhKhQcJh,1,0.21
AhKhQsJh,1,0.21
AdKdQcJd,1,0.21
AdKdQsJd,1,0.21
AdKdQhJd,1,0.21
AcKcQsJc,1,0.21
AcKcQhJc,1,0.21
AcKcQdJc,1,0.21
AsKsQhTs,1,0.2
AsKsQdTs,1,0.2
AsKsQcTs,1,0.2
AhKhQdTh,1,0.2
AhKhQcTh,1,0.2
AhKhQsTh,1,0.2
AdKdQcTd,1,0.2
AdKdQsTd,1,0.2
AdKdQhTd,1,0.2
AcKcQsTc,1,0.2
AcKcQhTc,1,0.2
AcKcQdTc,1,0.2
AsKsQh9s,1,0.02
AsKsQd9s,1,0.02
AsKsQc9s,1,0.02
AhKhQd9h,1,0.02
AhKhQc9h,1,0.02
AhKhQs9h,1,0.02
AdKdQc9d,1,0.02
AdKdQs9d,1,0.02
AdKdQh9d,1,0.02
AcKcQs9c,1,0.02
AcKcQh9c,1,0.02
AcKcQd9c,1,0.02
AsKsQhJh,1,0.83
AsKsQdJd,1,0.83
AsKsQcJc,1,0.83
AhKhQdJd,1,0.83
AhKhQcJc,1,0.83
AhKhQsJs,1,0.83
AdKdQcJc,1,0.83
AdKdQsJs,1,0.83
AdKdQhJh,1,0.83
AcKcQsJs,1,0.83
AcKcQhJh,1,0.83
AcKcQdJd,1,0.83
AsKsQhTh,1,0.8
AsKsQdTd,1,0.8
AsKsQcTc,1,0.8
AhKhQdTd,1,0.8
AhKhQcTc,1,0.8
AhKhQsTs,1,0.8
AdKdQcTc,1,0.8
AdKdQsTs,1,0.8
AdKdQhTh,1,0.8
AcKcQsTs,1,0.8
AcKcQhTh,1,0.8
AcKcQdTd,1,0.8
AsKsQh9h,1,0.37
AsKsQd9d,1,0.37
AsKsQc9c,1,0.37
AhKhQd9d,1,0.37
AhKhQc9c,1,0.37
AhKhQs9s,1,0.37
AdKdQc9c,1,0.37
AdKdQs9s,1,0.37
AdKdQh9h,1,0.37
AcKcQs9s,1,0.37
AcKcQh9h,1,0.37
AcKcQd9d,1,0.37
AsKsQh8h,1,0.28
AsKsQd8d,1,0.28
AsKsQc8c,1,0.28
AhKhQd8d,1,0.28
AhKhQc8c,1,0.28
AhKhQs8s,1,0.28
AdKdQc8c,1,0.28
AdKdQs8s,1,0.28
